"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"C1";"22n";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";
"JP1";"USB-A-H";"USB-A-H";"USB-A-VERT";"USB Connectors";"";"";"";"";"";
"JP2";"USB-A-H";"USB-A-H";"USB-A-VERT";"USB Connectors";"";"";"";"";"";
"K1";"61400826021";"61400826021";"61400826021";"WR-COM Horizontal Dual Stacked USB Type A";"";"";"";"";"";
"K2";"61400826021";"61400826021";"61400826021";"WR-COM Horizontal Dual Stacked USB Type A";"";"";"";"";"";
"K3";"61400826021";"61400826021";"61400826021";"WR-COM Horizontal Dual Stacked USB Type A";"";"";"";"";"";
"K4";"61400826021";"61400826021";"61400826021";"WR-COM Horizontal Dual Stacked USB Type A";"";"";"";"";"";
"K5";"61400826021";"61400826021";"61400826021";"WR-COM Horizontal Dual Stacked USB Type A";"";"";"";"";"";
"K6";"61400826021";"61400826021";"61400826021";"WR-COM Horizontal Dual Stacked USB Type A";"";"";"";"";"";
"K7";"61400826021";"61400826021";"61400826021";"WR-COM Horizontal Dual Stacked USB Type A";"";"";"";"";"";
"K8";"61400826021";"61400826021";"61400826021";"WR-COM Horizontal Dual Stacked USB Type A";"";"";"";"";"";
"LED1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";
"R1";"4k7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R2";"120";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R3";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R4";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R5";"4k7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R8";"4k7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R9";"4k7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R10";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R11";"3k3";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R12";"3k3";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R13";"4k7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R14";"4k7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R15";"4k7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R16";"4k7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R17";"4k7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"U1";"PCF8574ADW";"PCF8574ADW";"SOIC127P1030X265-16N";"REMOTE 8-BIT I/O EXPANDER FOR I2C BUS";"PCF8574ADW";"1758146";"75C5232";"SOIC-16";"Texas Instruments";
"U2";"LOLIN_NODEMCUV3";"LOLIN_NODEMCUV3";"ESP12E_DEVKIT_CHINA";"LoLin NodeMCU V3";"";"";"";"";"";
